Image Name,Average right eye R,Average right eye G,Average right eye B,Blood Sample ID
1709617535926.jpg,77.08299923,103.9555883,100.8235312,202403051
1709617820897.jpg,94.07129765,113.9664869,116.4373026,
1709619099298.jpg,70.62318611,91.01926327,95.25119114,202403056
1709619693768.jpg,114.7399969,109.3298092,104.6209688,
1709620211285.jpg,67.86513805,89.65969658,96.27380085,202403059
1709620679233.jpg,61.01492405,95.72081757,108.1794786,2024030510
1709621120889.jpg,73.90973759,92.96031761,87.79468536,
1709621554117.jpg,84.44289207,85.7964077,93.43723392,2024030512
1709621676113.jpg,83.58151531,72.01981926,77.65994644,2024030513
1709622658692.jpg,65.20799923,98.6748867,100.9257183,2024030515
1709622716624.jpg,69.80713558,120.9377222,148.9525023,2024030514
1709623274143.jpg,64.8839674,85.17248726,102.3854723,2024030516
1709623815781.jpg,63.96057224,89.17450333,107.3623381,2024030517
1709624359612.jpg,74.94961929,90.78491783,109.2984409,2024030519
1709624370509.jpg,66.83453465,71.61673355,75.90352726,2024030518
1709625328278.jpg,50.68874741,79.98669243,106.8359175,2024030520
1709625865851.jpg,53.55393028,81.91078091,92.44695473,2024030521
1709625961192.jpg,66.23879147,98.55498886,111.5943565,2024030522
1709626468942.jpg,59.75613976,79.94365597,76.13016605,2024030523
1709626994943.jpg,46.95722103,111.4188366,120.4295034,2024030524
1709627450249.jpg,38.05163956,78.65662193,97.05234909,2024030525
1709628044772.jpg,48.67670631,83.38488865,111.1694221,2024030526
1709628233934.jpg,66.6508913,129.5284929,156.5584526,2024030528
1709628592592.jpg,73.97202682,87.11118889,99.10361958,2024030529
1709629327570.jpg,53.68212414,75.68127918,93.47409248,
1709629871206.jpg,63.89784813,86.09236813,93.68830395,2024030532
1709630244032.jpg,77.63242435,109.0358686,136.9237614,2024030533
1709630990012.jpg,83.64339733,98.44073963,105.2636633,2024030535
1709631066891.jpg,56.32903194,79.16066074,98.75041866,2024030534
1709634432499.jpg,68.73402786,91.63863659,121.7381487,2024030536
1709634965112.jpg,62.11299896,94.21892452,113.8277531,2024030537
1709635126408.jpg,59.62439537,89.58133793,110.7068233,2024030538
1709635600380.jpg,75.40330601,106.8286924,119.8426838,2024030539
1709635848360.jpg,85.27860737,113.3219881,123.4195242,2024030540
1709636271654.jpg,89.56671047,96.08440113,98.97247028,
1709636706112.jpg,88.71076393,122.3541784,134.3345156,
1709636756336.jpg,117.8135509,123.5169792,128.2349672,
1709637117367.jpg,73.40462875,103.6542788,115.9172401,2024030544
1709637878539.jpg,96.60242176,120.9899139,128.8185072,2024030547
